p N0 N1 N2 N3 estimation xi_exact ECM exact_ECM fisher fisher_exact
0.3701 69 10 14 7 0.540752 0.4 0.0434735 0.0667968 0.230025 0.149708
0.3801 64 9 17 10 0.71034 0.4 0.0328788 0.0699201 0.304147 0.14302
0.3901 70 9 12 9 0.366683 0.4 0.0841268 0.0731999 0.118868 0.136612
0.4001 75 7 7 11 nan 0.4 nan 0.0766464 nan 0.130469
0.4101 74 10 6 10 nan 0.4 nan 0.0802707 nan 0.124578
0.4201 56 14 18 12 0.796075 0.4 0.0338692 0.0840852 0.295253 0.118927
0.4301 70 5 11 14 nan 0.4 nan 0.0881027 nan 0.113504
0.4401 63 5 20 12 0.764565 0.4 0.0379864 0.0923378 0.263252 0.108298
0.4501 69 10 9 12 nan 0.4 nan 0.096806 nan 0.103299
0.4601 60 18 15 7 0.543975 0.4 0.0631141 0.101524 0.158443 0.0984986
0.4701 67 15 8 10 nan 0.4 nan 0.106511 nan 0.0938868
0.4801 69 10 10 11 nan 0.4 nan 0.111787 nan 0.0894555
0.4901 58 17 13 12 0.35283 0.4 0.145489 0.117375 0.0687339 0.0851969
0.5001 62 13 14 11 0.325488 0.4 0.176417 0.123299 0.056684 0.0811037
0.5101 59 15 14 12 0.355805 0.4 0.158594 0.129586 0.0630541 0.0771689
0.5201 59 17 11 13 nan 0.4 nan 0.136266 nan 0.0733859
0.5301 53 10 21 16 0.828002 0.4 0.0498766 0.143372 0.200495 0.0697487
0.5401 56 19 12 13 nan 0.4 nan 0.15094 nan 0.0662513
0.5501 55 13 17 15 0.553977 0.4 0.0933662 0.159012 0.107105 0.0628882
0.5601 50 14 22 14 0.880891 0.4 0.0530797 0.167632 0.188396 0.0596543
0.5701 61 17 12 10 nan 0.4 nan 0.176851 nan 0.0565446
0.5801 50 18 13 19 0.11851 0.4 1.8869 0.186725 0.00529969 0.0535546
0.5901 57 16 12 15 nan 0.4 nan 0.197318 nan 0.0506797
0.6001 47 15 20 18 0.78788 0.4 0.0729596 0.208699 0.137062 0.0479158
0.6101 46 14 20 20 0.792384 0.4 0.0761748 0.22095 0.131277 0.045259
0.6201 44 18 18 20 0.70501 0.4 0.0938157 0.234161 0.106592 0.0427056
0.6301 51 13 17 19 0.387495 0.4 0.262945 0.248435 0.0380308 0.040252
0.6401 52 16 18 14 0.408676 0.4 0.253985 0.263888 0.0393723 0.0378949
0.6501 49 9 23 19 0.800182 0.4 0.0931278 0.280655 0.107379 0.035631
0.6601 55 19 15 11 nan 0.4 nan 0.298888 nan 0.0334574
0.6701 52 13 19 16 0.357332 0.4 0.39151 0.318764 0.0255421 0.0313712
0.6801 48 20 14 18 nan 0.4 nan 0.340487 nan 0.0293697
0.6901 45 18 22 15 0.75903 0.4 0.127016 0.364294 0.0787303 0.0274503
0.7001 40 28 18 14 0.605795 0.4 0.190812 0.390462 0.0524077 0.0256107
0.7101 49 16 16 19 nan 0.4 nan 0.419314 nan 0.0238485
0.7201 55 15 15 15 nan 0.4 nan 0.451234 nan 0.0221615
0.7301 41 17 29 13 1.15568 0.4 0.101035 0.486673 0.0989761 0.0205477
0.7401 53 20 11 16 nan 0.4 nan 0.526175 nan 0.0190051
0.7501 41 11 29 19 1.12773 0.4 0.119003 0.570387 0.0840316 0.017532
0.7601 44 16 23 17 0.626689 0.4 0.282424 0.620098 0.0354078 0.0161265
0.7701 41 19 18 22 nan 0.4 nan 0.676265 nan 0.0147871
0.7801 38 24 17 21 nan 0.4 nan 0.740068 nan 0.0135123
0.7901 39 15 29 17 1.13312 0.4 0.163755 0.812969 0.061067 0.0123006
0.8001 43 19 23 15 0.428789 0.4 0.788773 0.896803 0.0126779 0.0111507
0.8101 38 21 19 22 nan 0.4 nan 0.993893 nan 0.0100614
0.8201 37 19 23 21 0.699483 0.4 0.415823 1.10722 0.0240487 0.00903165
0.8301 25 26 22 27 1.34923 0.4 0.212059 1.24065 0.0471567 0.0080603
0.8401 38 19 21 22 nan 0.4 nan 1.39929 nan 0.00714646
0.8501 42 16 18 24 nan 0.4 nan 1.59001 nan 0.00628928
0.8601 32 31 22 15 0.715994 0.4 0.652757 1.82214 0.0153196 0.00548804
0.8701 33 24 25 18 0.927448 0.4 0.513063 2.10877 0.0194908 0.00474209
0.8801 35 25 19 21 nan 0.4 nan 2.46858 nan 0.0040509
0.8901 32 25 26 17 1.02117 0.4 0.625137 2.92907 0.0159965 0.00341405
0.9001 40 24 18 18 nan 0.4 nan 3.53206 nan 0.00283121
0.9101 29 24 25 22 1.10513 0.4 0.839917 4.3437 0.0119059 0.00230218
0.9201 33 24 27 16 0.828771 0.4 1.54114 5.47373 0.00648872 0.00182691
0.9301 35 17 21 27 nan 0.4 nan 7.11524 nan 0.00140543
0.9401 28 25 20 27 nan 0.4 nan 9.6342 nan 0.00103797
0.9501 26 25 32 17 nan 0.4 nan 13.7956 nan 0.000724866
0.9601 37 21 21 21 nan 0.4 nan 21.4293 nan 0.000466651
0.9701 24 26 21 29 nan 0.4 nan 37.8744 nan 0.00026403
0.9801 29 21 25 25 nan 0.4 nan 84.8061 nan 0.000117916
